Date,CPIAUCSL_PC1,UNRATE,ASPUS,GDP,Nonfarm business sector Labor productivity,Nonfarm business sector Real value-added output,Nonfarm business sector Hours worked,Nonfarm business sector Hourly compensation,Nonfarm business sector Real hourly compensation,Nonfarm business sector Unit labor costs,Nonfarm business sector Unit nonlabor payments,Nonfarm business sector Value-added output price deflator,Nonfarm business sector Employment,Nonfarm business sector Average weekly hours,Nonfarm business sector Labor share,Nonfarm business sector Labor compensation,Nonfarm business sector Value-added output,Nonfarm business sector Nonlabor payments,Nonfarm business sector Output per worker,Nonfarm business sector Consumer price deflator,Business sector Labor productivity,Business sector Real value-added output,Business sector Hours worked,Business sector Hourly compensation,Business sector Real hourly compensation,Business sector Unit labor costs,Business sector Unit nonlabor payments,Business sector Value-added output price deflator,Business sector Employment,Business sector Average weekly hours,Business sector Labor share,Business sector Labor compensation,Business sector Value-added output,Business sector Nonlabor payments,Business sector Output per worker,Business sector Consumer price deflator,Nonfinancial corporate sector Labor productivity,Nonfinancial corporate sector Real value-added output,Nonfinancial corporate sector Hours worked,Nonfinancial corporate sector Hourly compensation,Nonfinancial corporate sector Real hourly compensation,Nonfinancial corporate sector Unit labor costs,Nonfinancial corporate sector Unit nonlabor payments,Nonfinancial corporate sector Value-added output price deflator,Nonfinancial corporate sector Employment,Nonfinancial corporate sector Average weekly hours,Nonfinancial corporate sector Labor share,Nonfinancial corporate sector Labor compensation,Nonfinancial corporate sector Value-added output,Nonfinancial corporate sector Nonlabor payments,Nonfinancial corporate sector Output per worker,Nonfinancial corporate sector Consumer price deflator,Nonfinancial corporate sector Unit nonlabor costs,Nonfinancial corporate sector Unit combined input costs,Nonfinancial corporate sector Unit profits,Nonfinancial corporate sector Nonlabor costs,Nonfinancial corporate sector Profits,Manufacturing sector Labor productivity,Manufacturing sector Real sectoral output,Manufacturing sector Hours worked,Manufacturing sector Hourly compensation,Manufacturing sector Real hourly compensation,Manufacturing sector Unit labor costs,Manufacturing sector Employment,Manufacturing sector Average weekly hours,Manufacturing sector Labor compensation,Manufacturing sector Output per worker,Manufacturing sector Consumer price deflator,Durable manufacturing sector Labor productivity,Durable manufacturing sector Real sectoral output,Durable manufacturing sector Hours worked,Durable manufacturing sector Hourly compensation,Durable manufacturing sector Real hourly compensation,Durable manufacturing sector Unit labor costs,Durable manufacturing sector Employment,Durable manufacturing sector Average weekly hours,Durable manufacturing sector Labor compensation,Durable manufacturing sector Output per worker,Durable manufacturing sector Consumer price deflator,Nondurable manufacturing sector Labor productivity,Nondurable manufacturing sector Real sectoral output,Nondurable manufacturing sector Hours worked,Nondurable manufacturing sector Hourly compensation,Nondurable manufacturing sector Real hourly compensation,Nondurable manufacturing sector Unit labor costs,Nondurable manufacturing sector Employment,Nondurable manufacturing sector Average weekly hours,Nondurable manufacturing sector Labor compensation,Nondurable manufacturing sector Output per worker,Nondurable manufacturing sector Consumer price deflator
2013-01-01,1.51875,8.0,307400.0,16648.189,2.0,4.7,2.7,-5.9,-7.4,-7.7,12.7,0.7,2.2,0.5,-8.3,-3.4,5.4,18.0,2.5,1.7,2.9,5.1,2.1,-5.3,-6.9,-8.0,14.8,1.4,1.8,0.3,-9.3,-3.4,6.5,20.7,3.2,1.7,2.6,5.6,2.9,-2.2,-3.8,-4.7,5.1,-0.6,2.1,0.8,-4.1,0.7,5.0,11.0,3.5,1.7,-1.6,-3.7,19.3,3.9,26.0,4.7,5.2,0.5,-2.6,-4.2,-7.0,2.1,-1.5,-2.1,3.1,1.7,5.1,6.4,1.2,-3.9,-5.5,-8.6,2.3,-1.1,-2.8,4.0,1.7,4.8,4.1,-0.6,-0.2,-1.8,-4.7,1.7,-2.3,-0.8,2.3,1.7
2013-02-01,1.51875,7.7,307400.0,16648.189,2.0,4.7,2.7,-5.9,-7.4,-7.7,12.7,0.7,2.2,0.5,-8.3,-3.4,5.4,18.0,2.5,1.7,2.9,5.1,2.1,-5.3,-6.9,-8.0,14.8,1.4,1.8,0.3,-9.3,-3.4,6.5,20.7,3.2,1.7,2.6,5.6,2.9,-2.2,-3.8,-4.7,5.1,-0.6,2.1,0.8,-4.1,0.7,5.0,11.0,3.5,1.7,-1.6,-3.7,19.3,3.9,26.0,4.7,5.2,0.5,-2.6,-4.2,-7.0,2.1,-1.5,-2.1,3.1,1.7,5.1,6.4,1.2,-3.9,-5.5,-8.6,2.3,-1.1,-2.8,4.0,1.7,4.8,4.1,-0.6,-0.2,-1.8,-4.7,1.7,-2.3,-0.8,2.3,1.7
2013-03-01,1.51875,7.5,307400.0,16648.189,2.0,4.7,2.7,-5.9,-7.4,-7.7,12.7,0.7,2.2,0.5,-8.3,-3.4,5.4,18.0,2.5,1.7,2.9,5.1,2.1,-5.3,-6.9,-8.0,14.8,1.4,1.8,0.3,-9.3,-3.4,6.5,20.7,3.2,1.7,2.6,5.6,2.9,-2.2,-3.8,-4.7,5.1,-0.6,2.1,0.8,-4.1,0.7,5.0,11.0,3.5,1.7,-1.6,-3.7,19.3,3.9,26.0,4.7,5.2,0.5,-2.6,-4.2,-7.0,2.1,-1.5,-2.1,3.1,1.7,5.1,6.4,1.2,-3.9,-5.5,-8.6,2.3,-1.1,-2.8,4.0,1.7,4.8,4.1,-0.6,-0.2,-1.8,-4.7,1.7,-2.3,-0.8,2.3,1.7
2013-04-01,1.71579,7.6,320400.0,16728.687,-1.0,0.6,1.6,2.7,3.1,3.7,-2.9,0.8,2.0,-0.3,2.9,4.4,1.4,-2.3,-1.3,-0.4,-0.4,1.4,1.8,2.5,3.0,3.0,-3.0,0.3,1.9,-0.1,2.7,4.4,1.6,-1.7,-0.5,-0.4,1.0,2.5,1.5,2.6,3.0,1.6,-2.2,-0.1,1.9,-0.3,1.7,4.1,2.4,0.3,0.6,-0.4,-0.3,0.9,-5.7,2.2,-3.3,1.6,1.8,0.3,2.5,2.9,0.9,-1.2,1.5,2.8,3.1,-0.4,0.6,2.1,1.5,1.2,1.7,0.6,-0.1,1.6,2.8,2.2,-0.4,3.8,1.9,-1.8,4.8,5.2,0.9,-3.0,1.2,2.8,5.0,-0.4
2013-05-01,1.71579,7.5,320400.0,16728.687,-1.0,0.6,1.6,2.7,3.1,3.7,-2.9,0.8,2.0,-0.3,2.9,4.4,1.4,-2.3,-1.3,-0.4,-0.4,1.4,1.8,2.5,3.0,3.0,-3.0,0.3,1.9,-0.1,2.7,4.4,1.6,-1.7,-0.5,-0.4,1.0,2.5,1.5,2.6,3.0,1.6,-2.2,-0.1,1.9,-0.3,1.7,4.1,2.4,0.3,0.6,-0.4,-0.3,0.9,-5.7,2.2,-3.3,1.6,1.8,0.3,2.5,2.9,0.9,-1.2,1.5,2.8,3.1,-0.4,0.6,2.1,1.5,1.2,1.7,0.6,-0.1,1.6,2.8,2.2,-0.4,3.8,1.9,-1.8,4.8,5.2,0.9,-3.0,1.2,2.8,5.0,-0.4
2013-06-01,1.71579,7.5,320400.0,16728.687,-1.0,0.6,1.6,2.7,3.1,3.7,-2.9,0.8,2.0,-0.3,2.9,4.4,1.4,-2.3,-1.3,-0.4,-0.4,1.4,1.8,2.5,3.0,3.0,-3.0,0.3,1.9,-0.1,2.7,4.4,1.6,-1.7,-0.5,-0.4,1.0,2.5,1.5,2.6,3.0,1.6,-2.2,-0.1,1.9,-0.3,1.7,4.1,2.4,0.3,0.6,-0.4,-0.3,0.9,-5.7,2.2,-3.3,1.6,1.8,0.3,2.5,2.9,0.9,-1.2,1.5,2.8,3.1,-0.4,0.6,2.1,1.5,1.2,1.7,0.6,-0.1,1.6,2.8,2.2,-0.4,3.8,1.9,-1.8,4.8,5.2,0.9,-3.0,1.2,2.8,5.0,-0.4
2013-07-01,1.09473,7.3,324400.0,16953.838,2.9,4.5,1.6,-0.9,-3.1,-3.7,9.7,2.0,1.9,-0.3,-5.6,0.7,6.7,14.7,2.6,2.3,2.7,4.6,1.8,-1.1,-3.3,-3.7,9.1,1.8,2.0,-0.2,-5.4,0.7,6.4,14.1,2.5,2.3,-4.3,-2.5,1.9,-0.2,-2.4,4.3,2.3,3.5,2.0,0.0,0.8,1.7,0.9,-0.2,-4.4,2.3,5.6,4.7,-3.6,3.0,-6.0,-0.4,0.9,1.3,0.1,-2.1,0.5,0.4,1.0,1.4,0.6,2.3,0.2,1.9,1.7,0.8,-1.5,0.5,0.4,1.3,2.5,1.5,2.3,-0.2,0.4,0.7,-1.2,-3.3,-0.9,0.3,0.4,-0.5,0.2,2.3
2013-08-01,1.09473,7.2,324400.0,16953.838,2.9,4.5,1.6,-0.9,-3.1,-3.7,9.7,2.0,1.9,-0.3,-5.6,0.7,6.7,14.7,2.6,2.3,2.7,4.6,1.8,-1.1,-3.3,-3.7,9.1,1.8,2.0,-0.2,-5.4,0.7,6.4,14.1,2.5,2.3,-4.3,-2.5,1.9,-0.2,-2.4,4.3,2.3,3.5,2.0,0.0,0.8,1.7,0.9,-0.2,-4.4,2.3,5.6,4.7,-3.6,3.0,-6.0,-0.4,0.9,1.3,0.1,-2.1,0.5,0.4,1.0,1.4,0.6,2.3,0.2,1.9,1.7,0.8,-1.5,0.5,0.4,1.3,2.5,1.5,2.3,-0.2,0.4,0.7,-1.2,-3.3,-0.9,0.3,0.4,-0.5,0.2,2.3
2013-09-01,1.09473,7.2,324400.0,16953.838,2.9,4.5,1.6,-0.9,-3.1,-3.7,9.7,2.0,1.9,-0.3,-5.6,0.7,6.7,14.7,2.6,2.3,2.7,4.6,1.8,-1.1,-3.3,-3.7,9.1,1.8,2.0,-0.2,-5.4,0.7,6.4,14.1,2.5,2.3,-4.3,-2.5,1.9,-0.2,-2.4,4.3,2.3,3.5,2.0,0.0,0.8,1.7,0.9,-0.2,-4.4,2.3,5.6,4.7,-3.6,3.0,-6.0,-0.4,0.9,1.3,0.1,-2.1,0.5,0.4,1.0,1.4,0.6,2.3,0.2,1.9,1.7,0.8,-1.5,0.5,0.4,1.3,2.5,1.5,2.3,-0.2,0.4,0.7,-1.2,-3.3,-0.9,0.3,0.4,-0.5,0.2,2.3
2013-10-01,1.51284,7.2,334400.0,17192.019,3.9,5.1,1.1,3.3,1.7,-0.6,6.2,2.4,1.9,-0.7,-2.9,4.4,7.6,11.6,3.2,1.5,3.6,4.9,1.3,3.0,1.5,-0.5,4.5,1.7,1.9,-0.7,-2.2,4.3,6.6,9.5,2.9,1.5,0.6,2.1,1.4,3.8,2.2,3.1,1.8,2.5,2.3,-0.8,0.6,5.3,4.7,3.9,-0.2,1.5,4.3,3.5,-3.1,6.5,-1.1,1.4,2.4,1.0,2.3,0.8,0.9,1.6,-0.7,3.3,0.7,1.5,3.9,5.2,1.2,-0.2,-1.7,-3.9,0.9,0.3,1.0,4.2,1.5,-0.2,0.3,0.5,7.1,5.5,7.4,2.9,-2.3,7.7,-2.6,1.5
2013-11-01,1.51284,6.9,334400.0,17192.019,3.9,5.1,1.1,3.3,1.7,-0.6,6.2,2.4,1.9,-0.7,-2.9,4.4,7.6,11.6,3.2,1.5,3.6,4.9,1.3,3.0,1.5,-0.5,4.5,1.7,1.9,-0.7,-2.2,4.3,6.6,9.5,2.9,1.5,0.6,2.1,1.4,3.8,2.2,3.1,1.8,2.5,2.3,-0.8,0.6,5.3,4.7,3.9,-0.2,1.5,4.3,3.5,-3.1,6.5,-1.1,1.4,2.4,1.0,2.3,0.8,0.9,1.6,-0.7,3.3,0.7,1.5,3.9,5.2,1.2,-0.2,-1.7,-3.9,0.9,0.3,1.0,4.2,1.5,-0.2,0.3,0.5,7.1,5.5,7.4,2.9,-2.3,7.7,-2.6,1.5
2013-12-01,1.51284,6.7,334400.0,17192.019,3.9,5.1,1.1,3.3,1.7,-0.6,6.2,2.4,1.9,-0.7,-2.9,4.4,7.6,11.6,3.2,1.5,3.6,4.9,1.3,3.0,1.5,-0.5,4.5,1.7,1.9,-0.7,-2.2,4.3,6.6,9.5,2.9,1.5,0.6,2.1,1.4,3.8,2.2,3.1,1.8,2.5,2.3,-0.8,0.6,5.3,4.7,3.9,-0.2,1.5,4.3,3.5,-3.1,6.5,-1.1,1.4,2.4,1.0,2.3,0.8,0.9,1.6,-0.7,3.3,0.7,1.5,3.9,5.2,1.2,-0.2,-1.7,-3.9,0.9,0.3,1.0,4.2,1.5,-0.2,0.3,0.5,7.1,5.5,7.4,2.9,-2.3,7.7,-2.6,1.5
2014-01-01,1.61269,6.6,331400.0,17197.738,-3.3,-1.8,1.5,7.9,5.2,11.5,-10.6,1.1,1.6,-0.1,10.3,9.6,-0.7,-12.2,-3.4,2.6,-3.2,-2.0,1.3,8.1,5.4,11.7,-10.3,1.3,1.7,-0.4,10.3,9.5,-0.7,-12.1,-3.6,2.6,1.6,3.2,1.5,6.6,3.9,4.9,-7.7,-0.7,1.7,-0.2,5.6,8.2,2.4,-4.8,1.4,2.6,0.4,3.4,-22.3,3.6,-19.8,-1.0,-1.1,-0.1,8.0,5.3,9.1,1.5,-1.6,7.9,-2.6,2.6,0.1,0.4,0.3,7.3,4.6,7.2,2.2,-1.9,7.6,-1.8,2.6,-0.9,-1.8,-0.9,9.3,6.6,10.3,0.3,-1.2,8.4,-2.1,2.6
2014-02-01,1.61269,6.7,331400.0,17197.738,-3.3,-1.8,1.5,7.9,5.2,11.5,-10.6,1.1,1.6,-0.1,10.3,9.6,-0.7,-12.2,-3.4,2.6,-3.2,-2.0,1.3,8.1,5.4,11.7,-10.3,1.3,1.7,-0.4,10.3,9.5,-0.7,-12.1,-3.6,2.6,1.6,3.2,1.5,6.6,3.9,4.9,-7.7,-0.7,1.7,-0.2,5.6,8.2,2.4,-4.8,1.4,2.6,0.4,3.4,-22.3,3.6,-19.8,-1.0,-1.1,-0.1,8.0,5.3,9.1,1.5,-1.6,7.9,-2.6,2.6,0.1,0.4,0.3,7.3,4.6,7.2,2.2,-1.9,7.6,-1.8,2.6,-0.9,-1.8,-0.9,9.3,6.6,10.3,0.3,-1.2,8.4,-2.1,2.6
2014-03-01,1.61269,6.7,331400.0,17197.738,-3.3,-1.8,1.5,7.9,5.2,11.5,-10.6,1.1,1.6,-0.1,10.3,9.6,-0.7,-12.2,-3.4,2.6,-3.2,-2.0,1.3,8.1,5.4,11.7,-10.3,1.3,1.7,-0.4,10.3,9.5,-0.7,-12.1,-3.6,2.6,1.6,3.2,1.5,6.6,3.9,4.9,-7.7,-0.7,1.7,-0.2,5.6,8.2,2.4,-4.8,1.4,2.6,0.4,3.4,-22.3,3.6,-19.8,-1.0,-1.1,-0.1,8.0,5.3,9.1,1.5,-1.6,7.9,-2.6,2.6,0.1,0.4,0.3,7.3,4.6,7.2,2.2,-1.9,7.6,-1.8,2.6,-0.9,-1.8,-0.9,9.3,6.6,10.3,0.3,-1.2,8.4,-2.1,2.6
2014-04-01,2.05898,6.2,340600.0,17518.508,2.6,7.0,4.3,-2.2,-4.3,-4.7,11.1,1.9,2.7,1.6,-6.5,2.0,9.1,18.9,4.2,2.2,2.4,7.0,4.4,-2.4,-4.4,-4.7,12.1,2.4,2.7,1.7,-6.9,2.0,9.6,19.9,4.2,2.2,1.3,6.0,4.7,-0.6,-2.7,-1.9,11.7,3.7,2.7,1.9,-5.4,4.0,9.9,18.4,3.2,2.2,-0.8,-1.5,42.1,5.1,50.6,0.2,4.6,4.4,-2.2,-4.3,-2.4,0.7,3.7,2.1,3.9,2.2,0.8,6.9,6.1,-2.6,-4.7,-3.4,1.7,4.3,3.3,5.1,2.2,1.9,3.5,1.5,-1.7,-3.8,-3.6,-1.0,2.6,-0.2,4.5,2.2
2014-05-01,2.05898,6.3,340600.0,17518.508,2.6,7.0,4.3,-2.2,-4.3,-4.7,11.1,1.9,2.7,1.6,-6.5,2.0,9.1,18.9,4.2,2.2,2.4,7.0,4.4,-2.4,-4.4,-4.7,12.1,2.4,2.7,1.7,-6.9,2.0,9.6,19.9,4.2,2.2,1.3,6.0,4.7,-0.6,-2.7,-1.9,11.7,3.7,2.7,1.9,-5.4,4.0,9.9,18.4,3.2,2.2,-0.8,-1.5,42.1,5.1,50.6,0.2,4.6,4.4,-2.2,-4.3,-2.4,0.7,3.7,2.1,3.9,2.2,0.8,6.9,6.1,-2.6,-4.7,-3.4,1.7,4.3,3.3,5.1,2.2,1.9,3.5,1.5,-1.7,-3.8,-3.6,-1.0,2.6,-0.2,4.5,2.2
2014-06-01,2.05898,6.1,340600.0,17518.508,2.6,7.0,4.3,-2.2,-4.3,-4.7,11.1,1.9,2.7,1.6,-6.5,2.0,9.1,18.9,4.2,2.2,2.4,7.0,4.4,-2.4,-4.4,-4.7,12.1,2.4,2.7,1.7,-6.9,2.0,9.6,19.9,4.2,2.2,1.3,6.0,4.7,-0.6,-2.7,-1.9,11.7,3.7,2.7,1.9,-5.4,4.0,9.9,18.4,3.2,2.2,-0.8,-1.5,42.1,5.1,50.6,0.2,4.6,4.4,-2.2,-4.3,-2.4,0.7,3.7,2.1,3.9,2.2,0.8,6.9,6.1,-2.6,-4.7,-3.4,1.7,4.3,3.3,5.1,2.2,1.9,3.5,1.5,-1.7,-3.8,-3.6,-1.0,2.6,-0.2,4.5,2.2
2014-07-01,1.68405,6.2,340400.0,17804.228,3.5,6.8,3.2,2.2,1.1,-1.2,5.7,1.8,2.9,0.3,-3.0,5.5,8.7,12.9,3.8,1.1,2.7,6.7,3.8,1.4,0.3,-1.3,4.4,1.2,3.4,0.4,-2.5,5.3,8.0,11.3,3.2,1.1,4.2,7.3,3.0,2.5,1.4,-1.6,7.4,2.2,2.8,0.3,-3.7,5.6,9.7,15.3,4.5,1.1,-2.6,-1.9,28.8,4.6,38.2,-0.8,1.1,2.0,2.3,1.2,3.1,2.1,-0.2,4.3,-1.0,1.1,-0.2,3.1,3.3,2.0,1.0,2.2,2.8,0.5,5.5,0.3,1.1,0.9,0.5,-0.4,2.5,1.4,1.6,1.0,-1.3,2.1,-0.4,1.1
2014-08-01,1.68405,6.1,340400.0,17804.228,3.5,6.8,3.2,2.2,1.1,-1.2,5.7,1.8,2.9,0.3,-3.0,5.5,8.7,12.9,3.8,1.1,2.7,6.7,3.8,1.4,0.3,-1.3,4.4,1.2,3.4,0.4,-2.5,5.3,8.0,11.3,3.2,1.1,4.2,7.3,3.0,2.5,1.4,-1.6,7.4,2.2,2.8,0.3,-3.7,5.6,9.7,15.3,4.5,1.1,-2.6,-1.9,28.8,4.6,38.2,-0.8,1.1,2.0,2.3,1.2,3.1,2.1,-0.2,4.3,-1.0,1.1,-0.2,3.1,3.3,2.0,1.0,2.2,2.8,0.5,5.5,0.3,1.1,0.9,0.5,-0.4,2.5,1.4,1.6,1.0,-1.3,2.1,-0.4,1.1
2014-09-01,1.68405,5.9,340400.0,17804.228,3.5,6.8,3.2,2.2,1.1,-1.2,5.7,1.8,2.9,0.3,-3.0,5.5,8.7,12.9,3.8,1.1,2.7,6.7,3.8,1.4,0.3,-1.3,4.4,1.2,3.4,0.4,-2.5,5.3,8.0,11.3,3.2,1.1,4.2,7.3,3.0,2.5,1.4,-1.6,7.4,2.2,2.8,0.3,-3.7,5.6,9.7,15.3,4.5,1.1,-2.6,-1.9,28.8,4.6,38.2,-0.8,1.1,2.0,2.3,1.2,3.1,2.1,-0.2,4.3,-1.0,1.1,-0.2,3.1,3.3,2.0,1.0,2.2,2.8,0.5,5.5,0.3,1.1,0.9,0.5,-0.4,2.5,1.4,1.6,1.0,-1.3,2.1,-0.4,1.1
